PPID,Final50,Day,Time,Valence,Arousal,Word1,Intensity1,Word2,Intensity2,Word3,Intensity3,Word4,Intensity4,Phrase,InferredValence
2,1,1,10:09,20,2,excited,2,,,,,,,excited   ,0.917852793
2,1,1,10:33,32,4,busy,3,,,,,,,busy   ,0.37032808
2,1,1,11:24,35,28,happy,3,,,,,,,happy   ,0.820155087
2,1,1,11:39,44,47,excited,4,anxious,4,,,,,excited anxious  ,0.479305636
2,1,1,11:49,-27,38,frustrated,4,stressed,4,annoyed,4,,,frustrated stressed annoyed ,0.22140324
2,1,1,12:18,5,22,irritated,3,,,,,,,irritated   ,0.179032934
2,1,1,12:24,0,0,busy,2,,,,,,,busy   ,0.37032808
2,1,1,12:40,41,-13,happy,3,entertained,3,,,,,happy entertained  ,0.817710168
2,1,1,13:03,34,24,happy,3,,,,,,,happy   ,0.820155087
2,1,1,13:24,40,19,flustered,2,,,,,,,flustered   ,0.293927228
2,1,1,13:53,38,30,happy,4,,,,,,,happy   ,0.820155087
2,1,1,14:33,42,32,happy,3,,,,,,,happy   ,0.820155087
2,1,1,15:46,43,4,content,3,,,,,,,content   ,0.874681131
2,1,2,8:43,32,9,relaxed,2,busy,3,,,,,relaxed busy  ,0.734239023
2,1,2,9:26,22,-3,relaxed,3,,,,,,,relaxed   ,0.831419917
2,1,2,10:05,1,0,getting stressed,3,,,,,,,getting stressed   ,0.211478885
2,1,2,10:37,2,21,busy,3,frustrated,3,,,,,busy frustrated  ,0.328302712
2,1,2,12:08,38,33,happy,3,anxious,3,,,,,happy anxious  ,0.563231468
2,1,2,13:13,2,3,frustrated,4,,,,,,,frustrated   ,0.256387276
2,1,2,13:46,30,21,happy,3,relieve d,3,,,,,happy relieve d  ,0.814876715
2,1,3,8:52,28,2,awake,3,relieved,3,,,,,awake relieved  ,0.891592186
2,1,3,8:59,22,27,frustrated,3,annoyed,3,,,,,frustrated annoyed  ,0.120886083
2,1,3,9:43,30,3,neutral,3,,,,,,,neutral   ,0.525447807
2,1,3,11:00,1,3,neutral,2,,,,,,,neutral   ,0.525447807
2,1,3,12:53,1,2,stressed,3,,,,,,,stressed   ,0.211478885
2,1,3,14:48,3,1,anxious,2,,,,,,,anxious   ,0.374103636
2,1,4,11:08,-2,-1,neutral,2,,,,,,,neutral   ,0.525447807
2,1,4,14:11,-14,-11,frustrated,3,,,,,,,frustrated   ,0.256387276
2,1,4,14:23,16,21,busy,3,,,,,,,busy   ,0.37032808
2,1,4,14:42,-16,-16,irritated,4,,,,,,,irritated   ,0.179032934
2,1,4,15:07,-26,18,pissed,3,,,,,,,pissed   ,0.123298775
2,1,4,15:39,-21,-15,annoyed,3,,,,,,,annoyed   ,0.14711635
2,1,4,15:57,16,32,busy,4,,,,,,,busy   ,0.37032808
2,1,4,16:31,-22,29,angry,3,,,,,,,angry   ,0.307999913
2,1,4,16:45,0,33,irritated,3,,,,,,,irritated   ,0.179032934
2,1,5,8:42,4,1,tired,3,,,,,,,tired   ,0.354044171
