ParticipantID,Notification Time,Session Name,WeekNumber,NotificationNumber,Completed Session,Session Instance,Session Length,Valence,Intensity,Arousal,Emotion,InferredValence
28774-003586,08:28.0,Survey,1,1,1,1,01:29.8,4,0,3,neutral ,0.50157052
28774-003586,50:41.0,Survey,1,2,1,2,01:24.4,5,1,3,just,0.755197673
28774-003586,35:25.0,Survey,1,3,1,3,00:59.4,7,3,7,engaged ,0.864448515
28774-003586,25:09.0,Survey,1,4,1,4,01:18.2,5,1,3,serine ,0.75011626
28774-003586,33:34.0,Survey,1,6,1,5,00:58.4,6,2,5,Engaged ,0.864448515
28774-003586,30:47.0,Survey,1,7,1,6,01:41.6,3,1,5,Impatient and tired ,0.260407916
28774-003586,03:48.0,Survey,1,8,1,7,00:52.9,4,0,7,worried ,0.138972641
28774-003586,54:30.0,Survey,1,9,1,8,00:58.2,4,0,4,Bored,0.200936812
28774-003586,27:57.0,Survey,1,11,1,9,00:45.5,3,1,6,just woke up ,0.622975806
28774-003586,30:55.0,Survey,1,12,1,10,01:31.2,6,2,5,content ,0.91440677
28774-003586,05:09.0,Survey,1,13,1,11,00:56.2,7,3,7,focused ,0.607413753
28774-003586,48:34.0,Survey,1,14,1,12,02:57.6,5,1,3,content ,0.91440677
28774-003586,34:06.0,Survey,1,15,1,13,00:47.1,5,1,2,fog,0.378815893
28774-003586,30:18.0,Survey,1,16,1,14,00:47.5,4,0,4,sleepy,0.377327835
28774-003586,11:24.0,Survey,1,18,1,15,11:01.8,3,1,6,annoyed ,0.140615185
28774-003586,48:59.0,Survey,1,19,1,16,00:34.9,6,2,6,focused ,0.607413753
28774-003586,49:47.0,Survey,1,21,1,17,01:01.1,6,2,5,fog,0.378815893
28774-003586,52:52.0,Survey,1,22,1,18,00:48.4,7,3,7,focused ,0.607413753
28774-003586,05:58.0,Survey,1,23,1,19,01:03.4,3,1,5,sad,0.123790363
28774-003586,36:16.0,Survey,1,25,1,20,00:47.4,3,1,3,overthiking ,0.372261626
28774-003586,44:14.0,Survey,1,26,1,21,00:41.6,4,0,4,foggy,0.337525615
28774-003586,40:16.0,Survey,1,27,1,22,00:44.0,4,0,4,drowsy ,0.308448805
28774-003586,18:53.0,Survey,1,28,1,23,00:30.7,6,2,6,bliss,0.874361728
28774-003586,51:43.0,Survey,1,29,1,24,00:38.8,4,0,4,neutral ,0.50157052
28774-003586,27:17.0,Survey,1,30,1,25,00:31.9,6,2,6,focused,0.607413753
28774-003586,31:21.0,Survey,1,31,1,26,00:35.2,4,0,4,neutral ,0.50157052
28774-003586,26:55.0,Survey,1,32,1,27,00:49.2,6,2,6,happy,0.966903189
28774-003586,18:33.0,Survey,1,33,1,28,01:04.4,6,2,6,neutral ,0.50157052
28774-003586,37:23.0,Survey,1,34,1,29,11:37.6,6,2,6,confident ,0.699077148
28774-003586,53:35.0,Survey_Sleep,1,2,1,1,01:03.1,6,2,3,sleepy ,0.377327835
28774-003586,26:59.0,Survey_Sleep,1,7,1,2,00:53.8,4,0,4,tired ,0.25387319
28774-003586,17:24.0,Survey,2,36,1,30,01:16.8,5,1,5,bored,0.200936812
28774-003586,28:49.0,Survey,2,37,1,31,00:58.4,5,1,6,disappointed,0.105192736
28774-003586,09:14.0,Survey,2,38,1,32,00:40.8,5,1,3,neutral,0.50157052
28774-003586,47:46.0,Survey,2,39,1,33,01:26.0,6,2,5,annoyed,0.140615185
28774-003586,08:26.0,Survey,2,40,1,34,00:48.4,4,0,7,anxiou,0.548244202
28774-003586,44:47.0,Survey,2,41,1,35,00:46.2,4,0,4,confused ,0.205524164
28774-003586,14:49.0,Survey,2,42,1,36,00:48.6,4,0,3,content,0.91440677
28774-003586,08:59.0,Survey,2,44,1,37,00:35.7,5,1,3,content ,0.91440677
28774-003586,27:28.0,Survey,2,45,1,38,00:39.2,5,1,3,pleasent ,0.85126429
28774-003586,45:49.0,Survey,2,46,1,39,00:36.5,4,0,3,bored ,0.200936812
28774-003586,45:21.0,Survey,2,47,1,40,01:26.5,5,1,5,neutral ,0.50157052
28774-003586,13:12.0,Survey,2,48,1,41,01:59.9,4,0,3,bored ,0.200936812
28774-003586,54:15.0,Survey,2,49,1,42,00:43.3,5,1,3,anxious ,0.226350719
28774-003586,41:53.0,Survey,2,51,1,43,00:55.7,3,1,3,nervous ,0.23437063
28774-003586,49:23.0,Survey,2,52,1,44,05:26.2,5,1,5,focused,0.607413753
28774-003586,27:02.0,Survey,2,53,1,45,00:32.9,5,1,5,annoyed ,0.140615185
28774-003586,54:03.0,Survey,2,54,1,46,02:30.2,6,2,6,happy,0.966903189
28774-003586,19:26.0,Survey,2,55,1,47,00:28.9,4,0,3,content,0.91440677
28774-003586,58:56.0,Survey,2,56,1,48,03:14.7,6,2,5,annoyed ,0.140615185
