Word,Count,InferredValence,ValenceCategory
abandoned,1,0.164701301,2
absent,1,0.24306706,2
absentminded,1,0.342990491,2
ache,4,0.12532563,2
aches,4,0.109413296,2
aching,7,0.124975448,2
afraid,8,0.084013176,2
agitated,17,0.299367791,2
agog,1,0.20544957,2
agony,1,0.137688011,2
alert,20,0.403597914,2
alone,8,0.26184098,2
anger,1,0.368554059,2
angered,1,0.085708087,2
angry,150,0.12190893,2
annoyed,144,0.140615185,2
anxiety,20,0.196643964,2
anxious,400,0.226350719,2
apathetic,6,0.304928357,2
apathy,1,0.171488948,2
appalled,1,0.145920111,2
apprehensive,3,0.379679707,2
arguing,2,0.477116366,2
ashamed,6,0.129074909,2
ass,1,0.483839195,2
attacked,1,0.17561653,2
awful,1,0.081549166,2
awkward,2,0.215365155,2
backaches,1,0.167355252,2
bad,76,0.12964345,2
belittled,1,0.158766266,2
betrayed,3,0.09747333,2
bewildered,1,0.242190727,2
bittersweet,2,0.419794203,2
blank,1,0.287376944,2
bleh,1,0.466048169,2
bloated,4,0.188930697,2
blocked,1,0.24214988,2
blues,1,0.407621607,2
bored,250,0.200936812,2
bothered,11,0.197163254,2
broke,6,0.158040616,2
broken,3,0.111343941,2
broody,1,0.273954438,2
bugging,1,0.427356443,2
bummed,2,0.31980944,2
burdened,1,0.341098453,2
burned,1,0.208393664,2
burning,1,0.220296939,2
burnt,1,0.20541741,2
busy,196,0.28883206,2
buzzed,1,0.439673276,2
cautious,2,0.45712249,2
challenged,2,0.383828083,2
charged,1,0.415140124,2
chilled,58,0.432956907,2
chilling,35,0.377359545,2
chilly,3,0.457282887,2
cloudy,2,0.34903852,2
clueless,1,0.413750475,2
clumsy,1,0.173915034,2
cold,119,0.356600136,2
collected,7,0.433157135,2
competitive,3,0.464306606,2
complex,4,0.401117947,2
complicated,4,0.23550469,2
compulsive,1,0.292847898,2
concerned,24,0.213401854,2
conflicted,4,0.216061001,2
confrontational,1,0.217279994,2
confused,94,0.205524164,2
constipated,1,0.117360343,2
cooling,3,0.457367925,2
coward,1,0.173845841,2
cramp,1,0.206664115,2
cramped,1,0.353829311,2
cramps,5,0.152760221,2
cranky,1,0.196994389,2
crap,1,0.126958585,2
crazy,2,0.275784916,2
cringe,2,0.320150383,2
cringing,1,0.284555257,2
critical,2,0.214727122,2
crying,1,0.391046181,2
damaged,1,0.101206683,2
