Word,Count,InferredValence,ValenceCategory
able,10,0.669992193,1
absorbed,11,0.517950248,1
acceptance,1,0.857163679,1
accomplished,15,0.872793535,1
accomplishment,1,0.865192297,1
achievement,1,0.891093665,1
activated,53,0.71976152,1
activating,3,0.794507224,1
active,186,0.516666405,1
admired,1,0.860904654,1
adrenaline,2,0.731357709,1
adventurous,1,0.899551869,1
affection,1,0.842672832,1
affectionate,2,0.855649843,1
alive,12,0.841869369,1
alright,15,0.551510437,1
amazed,5,0.728134143,1
amazing,12,0.901402775,1
ambitious,11,0.576454119,1
amped,1,0.571564699,1
amused,34,0.841095009,1
anticipating,3,0.580701005,1
anticipation,2,0.576475483,1
appreciated,3,0.818866729,1
appreciative,1,0.885835103,1
aroused,2,0.725951115,1
artistic,2,0.806327766,1
athletic,1,0.808804466,1
attentive,9,0.692278219,1
attractive,1,0.822924417,1
average,10,0.578380634,1
awake,26,0.610542016,1
aware,9,0.651195862,1
awareness,1,0.728307182,1
awe,2,0.657406624,1
awesome,9,0.835947574,1
beautiful,11,0.890112341,1
best,14,0.920558102,1
better,105,0.792243389,1
blessed,40,0.904277142,1
bliss,1,0.874361728,1
blue,15,0.579498495,1
boost,1,0.813636862,1
breath,4,0.705367136,1
bubbly,3,0.726105369,1
buzz,1,0.578297851,1
caffeinated,3,0.56292418,1
caffeine,30,0.628788228,1
calm,929,0.838175618,1
calmed,3,0.875629559,1
calmer,2,0.858179912,1
care,3,0.727557434,1
carefree,5,0.831760435,1
caring,2,0.777359377,1
casual,1,0.612039718,1
celebrating,2,0.907536556,1
certain,1,0.746106756,1
chatty,1,0.661549489,1
cheerful,32,0.941563877,1
childish,2,0.522623088,1
chill,44,0.606445838,1
clarity,1,0.732136988,1
clean,10,0.749697026,1
clear,1,0.74819643,1
clever,2,0.822602908,1
close,4,0.769100396,1
clown,1,0.665698146,1
cognitive,3,0.60014357,1
comfortable,96,0.719564819,1
comfy,1,0.833696331,1
committed,3,0.609203596,1
compassionate,2,0.791532305,1
complete,11,0.77784276,1
composed,3,0.677021021,1
concentrated,90,0.698371179,1
concentrating,23,0.704728886,1
concentration,3,0.711133508,1
confidence,1,0.784717166,1
confident,64,0.699077148,1
contemplating,4,0.605738835,1
content,182,0.91440677,1
contented,2,0.907926045,1
cool,21,0.685529508,1
cooperative,1,0.817968601,1
courageous,1,0.738302824,1
cozy,3,0.846437533,1
craving,1,0.521812577,1
creative,60,0.827848298,1
cruising,2,0.812962405,1
curious,41,0.660724215,1
daydreaming,17,0.74132042,1
decent,11,0.829392558,1
decisive,2,0.658002643,1
dedicated,4,0.81598952,1
delighted,29,0.904933312,1
desire,3,0.77724597,1
desiring,1,0.77837707,1
determination,2,0.674916054,1
determined,116,0.735685784,1
discerning,1,0.533122317,1
dreaming,8,0.834060926,1
dreamy,13,0.740947538,1
dynamic,1,0.759467831,1
eager,28,0.55374086,1
ease,36,0.683397101,1
easy,61,0.820912961,1
easygoing,3,0.759099754,1
ecstatic,2,0.852683859,1
effective,1,0.64615915,1
efficient,1,0.787055739,1
elated,5,0.831010241,1
emotional,12,0.554330837,1
emotive,1,0.785940064,1
empathic,4,0.780221643,1
empowered,2,0.82670629,1
encouraged,6,0.780024989,1
energetic,231,0.56420314,1
energised,12,0.796535219,1
energized,34,0.797480097,1
energy,45,0.757850527,1
engaged,33,0.864448515,1
enjoy,10,0.936554567,1
enjoying,57,0.911884863,1
enlightened,1,0.835072681,1
entertained,17,0.87405503,1
entertaining,4,0.90531446,1
enthralled,1,0.717245106,1
enthusiasm,1,0.897094878,1
enthusiastic,17,0.888321239,1
euphoric,3,0.79224191,1
excellent,9,0.902206215,1
excited,344,0.877860753,1
excitement,4,0.847702685,1
exciting,2,0.897359721,1
expectant,2,0.599796891,1
fair,1,0.515089643,1
fantastic,2,0.931493223,1
fast,5,0.608085022,1
faster,3,0.576337269,1
favoured,2,0.539331088,1
fed,5,0.505109057,1
festive,1,0.862433247,1
fighting,2,0.571528821,1
filled,2,0.731180194,1
flow,4,0.689398293,1
flowing,1,0.677534478,1
fluent,1,0.727811108,1
focus,56,0.583933759,1
focused,739,0.607413753,1
focusing,14,0.581217874,1
fortunate,4,0.913715888,1
forward,19,0.624486417,1
free,45,0.870875374,1
freedom,1,0.923587981,1
frenzy,1,0.558405514,1
fresh,36,0.842283054,1
friendly,20,0.829378981,1
fruitful,2,0.773955149,1
fulfilled,17,0.887166005,1
fulfillment,1,0.881026865,1
full,111,0.61182654,1
fun,53,0.946495976,1
funny,22,0.687315698,1
generous,2,0.961041119,1
glad,24,0.880612727,1
glamorous,1,0.821216422,1
gleeful,1,0.89841053,1
good,1410,0.935152947,1
grateful,54,0.924394191,1
gratitude,1,0.918370258,1
great,295,0.902708617,1
happier,12,0.976460567,1
happiest,1,0.982920798,1
happiness,7,0.959528137,1
happy,2135,0.966903189,1
hardworking,6,0.582585306,1
harmonized,1,0.943885627,1
healed,1,0.764146723,1
healthy,7,0.802519944,1
helpful,8,0.846200085,1
high,42,0.762062968,1
hope,11,0.861655666,1
hopeful,75,0.892760575,1
horny,17,0.520478867,1
hot,118,0.59049401,1
humorous,3,0.908758824,1
hyped,4,0.696924025,1
imaginative,4,0.76615165,1
immersed,15,0.60244937,1
impressed,4,0.775665066,1
incredible,1,0.876084991,1
informed,2,0.608068276,1
insightful,1,0.6335296,1
inspired,74,0.932313082,1
interested,35,0.629451434,1
intrigued,9,0.63998418,1
inventive,2,0.823726733,1
invested,2,0.654288215,1
invigorated,2,0.838119143,1
invincible,2,0.745158253,1
involved,3,0.729103783,1
jolly,1,0.946718779,1
jovial,7,0.873557716,1
joy,8,0.932551711,1
joyful,37,0.933318133,1
joyous,3,0.914995548,1
keen,4,0.764112803,1
kind,17,0.910342129,1
laughing,3,0.87296166,1
liberated,1,0.814372701,1
lifted,1,0.771054762,1
light,6,0.738347083,1
lively,6,0.82721421,1
longing,5,0.699943204,1
love,28,0.871815973,1
loveable,1,0.9449783,1
loved,26,0.917592898,1
loving,18,0.914064131,1
lucky,23,0.807228913,1
masterful,1,0.786885233,1
meditating,10,0.741364692,1
meditative,1,0.724686479,1
meh,15,0.686758992,1
mellow,16,0.728544407,1
melting,2,0.533201014,1
merry,1,0.94777636,1
mindful,6,0.713953041,1
motivated,171,0.888365416,1
motivation,3,0.869796059,1
