PPID,Day,Reported,Estimated,PropPos
2,1,20,0.877860753,1
2,1,32,0.28883206,0
2,1,35,0.966903189,1
2,1,44,0.408325456,0.5
2,1,-27,0.116062768,0
2,1,5,0.153216875,0
2,1,0,0.28883206,0
2,1,41,0.96030127,1
2,1,34,0.966903189,1
2,1,40,0.280967835,0
2,1,38,0.966903189,1
2,1,42,0.966903189,1
2,1,43,0.91440677,1
2,2,32,0.670338894,0.5
2,2,22,0.844717825,1
2,2,1,0.173081188,0
2,2,2,0.193378404,0
2,2,38,0.37488289,0.5
2,2,2,0.087967918,0
2,2,30,0.893182927,1
2,3,28,0.799167545,1
2,3,22,0.119363314,0
2,3,30,0.50157052,1
2,3,1,0.50157052,1
2,3,1,0.173081188,0
2,3,3,0.226350719,0
2,4,-2,0.50157052,1
2,4,-14,0.087967918,0
2,4,16,0.28883206,0
2,4,-16,0.153216875,0
2,4,-26,0.192021718,0
2,4,-21,0.140615185,0
2,4,16,0.28883206,0
2,4,-22,0.12190893,0
2,4,0,0.153216875,0
2,5,4,0.25387319,0
2,5,-16,0.087967918,0
2,5,22,0.087967918,0
2,5,0,0.265093721,0
2,5,-25,0.087967918,0
2,5,0,0.213401854,0
2,5,-16,0.140615185,0
2,5,1,0.217859393,0
2,5,4,0.28883206,0
2,7,28,0.25387319,0
2,7,-9,0.280967835,0
2,7,28,0.762768147,0.5
2,7,23,0.87405503,1
2,7,38,0.824553696,1
2,7,20,0.966903189,1
2,7,22,0.629451434,1
2,8,30,0.648092817,1
2,8,32,0.966903189,1
2,8,18,0.25387319,0
2,8,27,0.966903189,1
2,9,20,0.91440677,1
2,9,34,0.966903189,1
2,9,0,0.597647253,1
2,9,0,0.607413753,1
2,9,28,0.629451434,1
2,9,0,0.966903189,1
2,9,23,0.864448515,1
2,9,25,0.622996708,1
2,10,21,0.087967918,0
2,10,4,0.28883206,0
2,10,-1,0.140615185,0
2,10,-18,0.28883206,0
2,10,24,0.785847864,1
2,10,21,0.607413753,1
2,10,24,0.629451434,1
2,10,32,0.966903189,1
2,11,32,0.629451434,1
2,11,18,0.28883206,0
2,11,20,0.607413753,1
2,11,25,0.28883206,0
2,11,19,0.607413753,1
2,11,28,0.629451434,1
2,11,15,0.25387319,0
2,11,-23,0.23437063,0
2,11,22,0.692278219,1
2,12,20,0.877860753,1
2,12,16,0.607413753,1
2,12,30,0.607413753,1
2,12,24,0.570409449,1
2,12,20,0.607413753,1
2,12,24,0.50157052,1
2,12,29,0.28883206,0
2,12,-19,0.140615185,0
2,13,0,0.140615185,0
2,13,18,0.28883206,0
2,13,-21,0.173081188,0
2,13,-2,0.140615185,0
2,13,4,0.173081188,0
2,13,-1,0.28883206,0
2,13,-14,0.28883206,0
2,13,15,0.864448515,1
2,14,21,0.28883206,0
2,14,18,0.864448515,1
2,14,20,0.28883206,0
2,14,14,0.607413753,1
2,14,11,0.715215175,1
2,14,17,0.607413753,1
2,14,25,0.25387319,0
2,15,0,0.25387319,0
2,15,20,0.607413753,1
2,15,14,0.25387319,0
2,15,26,0.153216875,0
2,15,18,0.140615185,0
2,15,19,0.607413753,1
2,15,15,0.966903189,1
2,15,21,0.153216875,0
3,1,-21,0.849761291,0.5
3,1,1,0.473300017,0.5
3,1,-22,0.250952748,0
3,1,-20,0.140615185,0
3,1,-21,0.140615185,0
3,1,19,0.966903189,1
3,1,26,0.966903189,1
3,1,10,0.200936812,0
3,1,37,0.434899924,0.5
3,1,28,0.958519634,1
3,2,10,0.849761291,0.5
3,2,30,0.966903189,1
3,2,-8,0.140615185,0
