Word,Frequency
happy,2135
tired,1949
good,1410
relaxed,1116
calm,929
focused,739
sleepy,646
hungry,563
anxious,400
ok,384
excited,344
sad,312
great,295
stressed,277
fine,267
bored,250
nervous,235
exhausted,234
energetic,231
busy,196
active,186
okay,185
content,182
sick,172
motivated,171
worried,151
angry,150
annoyed,144
ready,139
relax,127
well,125
satisfied,120
cold,119
hot,118
lazy,117
determined,116
rested,112
full,111
neutral,106
better,105
ill,99
comfortable,96
confused,94
concentrated,90
pain,89
productive,89
warm,89
nice,85
relaxing,85
frustrated,82
headache,81
disappointed,78
pleasant,77
bad,76
hopeful,75
inspired,74
sore,73
normal,72
peaceful,72
proud,69
down,67
optimistic,66
distracted,65
uneasy,65
confident,64
easy,61
irritated,60
creative,60
thinking,60
chilled,58
enjoying,57
rest,57
focus,56
grateful,54
activated,53
fun,53
numb,52
relieved,52
thoughtful,52
pleased,49
uncomfortable,46
energy,45
free,45
chill,44
dizzy,43
upset,43
overwhelmed,42
high,42
refreshed,42
tense,41
curious,41
quiet,41
blessed,40
stress,38
joyful,37
ease,36
fresh,36
positive,36
chilling,35
hungover,35
interested,35
amused,34
energized,34
engaged,33
cheerful,32
caffeine,30
drowsy,29
delighted,29
strong,29
eager,28
love,28
depressed,26
weird,26
awake,26
loved,26
drained,25
drunk,25
concerned,24
scared,24
glad,24
guilty,23
hangover,23
sweaty,23
concentrating,23
lucky,23
talkative,23
funny,22
moody,21
cool,21
alert,20
anxiety,20
nothing,20
weak,20
friendly,20
forward,19
nostalgic,19
itchy,18
loving,18
relief,18
agitated,17
hopeless,17
impatient,17
lonely,17
mad,17
daydreaming,17
entertained,17
enthusiastic,17
fulfilled,17
horny,17
kind,17
grumpy,16
off,16
restless,16
unpleasant,16
mellow,16
low,15
occupied,15
unfocused,15
accomplished,15
alright,15
blue,15
immersed,15
meh,15
indecisive,14
powerless,14
best,14
focusing,14
serious,14
lost,13
pressure,13
useless,13
dreamy,13
open,13
peace,13
dumb,12
fatigued,12
hurt,12
nauseous,12
shocked,12
alive,12
amazing,12
emotional,12
energised,12
happier,12
bothered,11
deactivated,11
demotivated,11
empty,11
thirsty,11
unhappy,11
absorbed,11
ambitious,11
beautiful,11
complete,11
decent,11
hope,11
thrilled,11
heavy,10
able,10
average,10
clean,10
enjoy,10
meditating,10
surprised,10
thankful,10
lethargic,9
stuck,9
attentive,9
aware,9
awesome,9
excellent,9
intrigued,9
proactive,9
afraid,8
alone,8
discouraged,8
disgusting,8
disoriented,8
insecure,8
irritable,8
overworked,8
pensive,8
troubled,8
unmotivated,8
dreaming,8
helpful,8
joy,8
prepared,8
recovering,8
aching,7
collected,7
disgusted,7
fatigue,7
hate,7
hurting,7
preoccupied,7
pressured,7
reflective,7
terrible,7
ugly,7
unsure,7
unwell,7
happiness,7
healthy,7
jovial,7
apathetic,6
ashamed,6
broke,6
dirty,6
dull,6
failed,6
gloomy,6
hurry,6
mindless,6
negative,6
puzzled,6
rushed,6
silly,6
tipsy,6
uncertain,6
unsettled,6
worn,6
encouraged,6
hardworking,6
light,6
lively,6
mindful,6
power,6
satiated,6
sensitive,6
sunny,6
unwinding,6
upbeat,6
wanting,6
whole,6
cramps,5
devastated,5
disconnected,5
dry,5
freezing,5
groggy,5
helpless,5
mixed,5
pessimistic,5
ruminating,5
weary,5
amazed,5
carefree,5
elated,5
fast,5
fed,5
longing,5
organized,5
playful,5
restful,5
spiritual,5
uplifted,5
useful,5
vibing,5
ache,4
aches,4
bloated,4
complex,4
complicated,4
conflicted,4
dazed,4
distressed,4
disturbed,4
furious,4
grinding,4
hunger,4
hyper,4
miserable,4
sadness,4
slump,4
tension,4
worthless,4
breath,4
close,4
contemplating,4
dedicated,4
empathic,4
entertaining,4
excitement,4
flow,4
fortunate,4
hyped,4
imaginative,4
impressed,4
keen,4
powerful,4
spirited,4
tune,4
zen,4
apprehensive,3
betrayed,3
broken,3
chilly,3
competitive,3
cooling,3
dehydrated,3
depression,3
deprived,3
despair,3
desperate,3
discouragement,3
drowning,3
embarrassed,3
feverish,3
fog,3
foggy,3
headaches,3
hectic,3
horrible,3
horror,3
humiliated,3
losing,3
meaningless,3
melancholy,3
nausea,3
nauseated,3
overfed,3
overthinking,3
painful,3
pissed,3
regret,3
resigned,3
sluggish,3
strained,3
struggling,3
suffering,3
suicidal,3
sunburned,3
undecided,3
unproductive,3
unsafe,3
unwilling,3
activating,3
anticipating,3
appreciated,3
bubbly,3
caffeinated,3
calmed,3
care,3
cognitive,3
committed,3
composed,3
concentration,3
cozy,3
desire,3
easygoing,3
euphoric,3
faster,3
humorous,3
involved,3
joyous,3
laughing,3
motivation,3
moved,3
productivity,3
protected,3
purposeful,3
reminiscent,3
renewed,3
serene,3
sexy,3
smart,3
unstoppable,3
valued,3
willing,3
yearning,3
arguing,2
awkward,2
bittersweet,2
bummed,2
cautious,2
challenged,2
cloudy,2
crazy,2
cringe,2
critical,2
deconcentrated,2
dejected,2
depleted,2
disrespected,2
distress,2
doubtful,2
edge,2
edgy,2
explode,2
fired,2
fuzzy,2
grouchy,2
heartbroken,2
homesick,2
ignored,2
indifferent,2
inquisitive,2
jumpy,2
lightheaded,2
loose,2
migraine,2
perplexed,2
sorrowful,2
starving,2
static,2
strange,2
stupid,2
suspicious,2
terrified,2
toothache,2
undecisive,2
unlucky,2
unsatisfied,2
unstressed,2
vigilant,2
woozy,2
worry,2
worrying,2
adrenaline,2
affectionate,2
anticipation,2
aroused,2
artistic,2
awe,2
calmer,2
caring,2
celebrating,2
childish,2
clever,2
compassionate,2
contented,2
cruising,2
decisive,2
determination,2
ecstatic,2
empowered,2
exciting,2
expectant,2
fantastic,2
favoured,2
fighting,2
filled,2
fruitful,2
generous,2
informed,2
inventive,2
invested,2
invigorated,2
invincible,2
melting,2
musical,2
organised,2
patient,2
perfect,2
philosophical,2
positivity,2
receptive,2
recovered,2
rejuvenated,2
revived,2
safe,2
stronger,2
turned,2
abandoned,1
absent,1
absentminded,1
agog,1
agony,1
anger,1
angered,1
apathy,1
appalled,1
ass,1
attacked,1
awful,1
backaches,1
belittled,1
bewildered,1
blank,1
bleh,1
blocked,1
blues,1
broody,1
bugging,1
burdened,1
burned,1
burning,1
burnt,1
buzzed,1
charged,1
clueless,1
clumsy,1
compulsive,1
confrontational,1
constipated,1
coward,1
cramp,1
cramped,1
cranky,1
crap,1
cringing,1
crying,1
damaged,1
decompressing,1
defeated,1
defensive,1
deliberating,1
destressing,1
detached,1
disappointment,1
disassociated,1
disbelief,1
discomfort,1
dismay,1
dismayed,1
disregarded,1
distant,1
distraught,1
dragging,1
dread,1
dreadful,1
dreading,1
drifted,1
dying,1
emptiness,1
failure,1
fear,1
fearful,1
fidgeting,1
fluish,1
forgotten,1
fragile,1
frantic,1
frightened,1
gassed,1
guilt,1
hangry,1
heartburn,1
helplessness,1
hesitant,1
hideous,1
humbled,1
hurried,1
hyperactive,1
impotent,1
incapable,1
incomplete,1
inconvenienced,1
inert,1
inferior,1
infuriated,1
insane,1
insecurity,1
insignificant,1
intoxicated,1
isolated,1
jealous,1
jittery,1
jolted,1
loneliness,1
loss,1
lousy,1
mediocre,1
misery,1
mournful,1
needy,1
negativity,1
nonchalant,1
ordinary,1
panic,1
pathetic,1
quenched,1
reluctant,1
resentful,1
reserved,1
restrained,1
reviled,1
saturated,1
screaming,1
shame,1
shock,1
skeptical,1
sneezy,1
sober,1
somber,1
sombre,1
sour,1
stoic,1
stomachache,1
strain,1
stressing,1
stubborn,1
stuffed,1
suffocated,1
suffocating,1
thirst,1
tiresome,1
torn,1
trash,1
tripping,1
unactive,1
unawake,1
uncertainty,1
unconcentrated,1
uncontrollable,1
uncreative,1
undermined,1
undervalued,1
unease,1
unenthusiastic,1
unfulfilled,1
unheard,1
vulnerable,1
wrecked,1
wronged,1
zoned,1
acceptance,1
accomplishment,1
achievement,1
admired,1
adventurous,1
affection,1
amped,1
appreciative,1
athletic,1
attractive,1
awareness,1
bliss,1
boost,1
buzz,1
casual,1
certain,1
chatty,1
clarity,1
clear,1
clown,1
comfy,1
confidence,1
cooperative,1
courageous,1
craving,1
desiring,1
discerning,1
dynamic,1
effective,1
efficient,1
emotive,1
enlightened,1
enthralled,1
enthusiasm,1
fair,1
festive,1
flowing,1
fluent,1
freedom,1
frenzy,1
fulfillment,1
glamorous,1
gleeful,1
gratitude,1
happiest,1
harmonized,1
healed,1
incredible,1
insightful,1
jolly,1
liberated,1
lifted,1
loveable,1
masterful,1
meditative,1
merry,1
needed,1
overjoyed,1
persistent,1
reassured,1
recharged,1
recharging,1
reconciled,1
reconnecting,1
reflecting,1
relaxation,1
respected,1
sated,1
satisfaction,1
sentimental,1
sigh,1
sociable,1
sporty,1
stunned,1
sympathetic,1
tender,1
toad,1
tranquil,1
triumphant,1
trusted,1
trustworthy,1
understood,1
vibrant,1
victorious,1
vigor,1
vim,1
wealthy,1
wonderful,1
zone,1
