PPID,Beep,Reported,Estimated,PropPos
3586,1,4,0.50157052,1
3586,3,7,0.864448515,1
3586,6,6,0.864448515,1
3586,7,3,0.260407916,0
3586,8,4,0.138972641,0
3586,9,4,0.200936812,0
3586,12,6,0.91440677,1
3586,13,7,0.607413753,1
3586,14,5,0.91440677,1
3586,15,5,0.378815893,0
3586,16,4,0.377327835,0
3586,18,3,0.140615185,0
3586,19,6,0.607413753,1
3586,21,6,0.378815893,0
3586,22,7,0.607413753,1
3586,23,3,0.123790363,0
3586,26,4,0.337525615,0
3586,27,4,0.308448805,0
3586,28,6,0.874361728,1
3586,29,4,0.50157052,1
3586,30,6,0.607413753,1
3586,31,4,0.50157052,1
3586,32,6,0.966903189,1
3586,33,6,0.50157052,1
3586,34,6,0.699077148,1
3586,2,6,0.377327835,0
3586,7,4,0.25387319,0
3586,36,5,0.200936812,0
3586,37,5,0.105192736,0
3586,38,5,0.50157052,1
3586,39,6,0.140615185,0
3586,41,4,0.205524164,0
3586,42,4,0.91440677,1
3586,44,5,0.91440677,1
3586,46,4,0.200936812,0
3586,47,5,0.50157052,1
3586,48,4,0.200936812,0
3586,49,5,0.226350719,0
3586,51,3,0.23437063,0
3586,52,5,0.607413753,1
3586,53,5,0.140615185,0
3586,54,6,0.966903189,1
3586,55,4,0.91440677,1
3586,56,6,0.140615185,0
3586,57,5,0.218694839,0
3586,59,3,0.200936812,0
3586,63,5,0.921959538,1
3586,64,5,0.870875374,1
3586,65,5,0.966903189,1
3586,68,5,0.197163254,0
3586,69,4,0.200936812,0
3586,70,4,0.725951115,1
3586,8,6,0.607413753,1
3586,9,4,0.378815893,0
3586,11,4,0.226350719,0
3586,71,4,0.330216782,0
3586,72,6,0.966903189,1
3586,73,5,0.50157052,1
3586,74,3,0.197163254,0
3586,75,5,0.844717825,1
3586,76,4,0.200936812,0
3586,78,4,0.097344805,0
3586,80,3,0.140615185,0
3586,81,4,0.25387319,0
3586,82,6,0.644233544,1
3586,83,4,0.50157052,1
3586,84,5,0.91440677,1
3586,85,5,0.599741197,1
3586,86,5,0.197163254,0
3586,87,4,0.197163254,0
3586,88,3,0.140615185,0
3586,89,3,0.607413753,1
3586,90,5,0.356600136,0
3586,91,4,0.197163254,0
3586,92,5,0.932313082,1
3586,93,5,0.91440677,1
3586,94,3,0.140615185,0
3586,95,4,0.197163254,0
3586,96,4,0.50157052,1
3586,97,5,0.91440677,1
3586,98,3,0.909941051,0.5
3586,99,4,0.200936812,0
3586,100,5,0.966903189,1
3586,103,4,0.50157052,1
3586,104,4,0.50157052,1
3586,105,5,0.91440677,1
3586,15,3,0.248150155,0
3586,16,4,0.337525615,0
3586,17,4,0.956822531,1
3586,18,4,0.377327835,0
3586,19,5,0.25387319,0
3586,20,3,0.25387319,0
3586,106,5,0.966903189,1
3586,108,4,0.50157052,1
3586,109,3,0.91440677,1
3586,110,3,0.250022081,0
3586,111,4,0.631098725,0
3586,112,5,0.91440677,1
3586,116,4,0.208511637,0
3586,117,4,0.205619763,0
3586,118,3,0.181934481,0
3586,119,4,0.197163254,0
3586,121,4,0.25387319,0
3586,123,4,0.607413753,1
3586,124,4,0.867519604,1
3586,125,4,0.50157052,1
3586,129,3,0.253297766,0
3586,130,4,0.095921271,0
3586,132,3,0.197163254,0
3586,133,3,0.213401854,0
3586,134,4,0.965734463,1
3586,135,3,0.91440677,1
3586,136,4,0.25387319,0
3586,137,3,0.200936812,0
3586,139,6,0.949021011,0.5
3586,22,4,0.377327835,0
3586,23,4,0.25387319,0
3586,25,5,0.123790363,0
3586,27,4,0.377327835,0
12386,1,2,0.25387319,0
12386,2,4,0.735685784,1
12386,3,5,0.877860753,1
12386,4,4,0.307098629,0
12386,5,5,0.608085022,1
12386,6,5,0.851517352,1
12386,7,4,0.250574299,0
12386,8,5,0.375591596,0
12386,9,3,0.25387319,0
12386,10,5,0.607413753,1
12386,11,3,0.607413753,1
12386,13,3,0.607413753,1
12386,14,4,0.193066192,0
12386,15,4,0.704920111,1
12386,16,5,0.91440677,1
12386,18,5,0.966903189,1
12386,19,5,0.91440677,1
12386,20,5,0.911145804,0.5
12386,21,5,0.91440677,1
12386,24,5,0.966903189,1
12386,25,7,0.516666405,1
12386,26,5,0.822119542,1
12386,28,2,0.239829983,0
12386,29,5,0.200936812,0
